galaxies
mod0,vgsr
32.39,2656
31.64,1633
33.32,3751
34.56,5398
32.58,2521
35.08,7500
36.49,10948
33.36,3713
34.71,5835
29.01,309
30.55,578
32.16,2552
29.86,611
31.56,2186
31.94,1950
32.27,2401
20.16,13
32.49,2408
33.35,3834
32.57,1741
30.20,608
31.95,1718
33.25,2591
29.97,662
31.59,2194
31.90,1514
31.14,1841
34.04,4190
33.32,4545
33.42,3409
32.42,1925
34.66,5714
35.04,6009
31.16,1513
33.82,4397
31.90,1197
33.88,4008
32.44,2096
32.67,1857
32.00,1320
30.06,408
35.77,7881
35.32,7973
30.58,2078
34.46,4925
33.14,2383
32.83,3372
32.80,2477
34.37,6330
32.02,1632
35.15,7800
32.68,3426
32.02,1954
28.61,345
34.54,5948
32.29,2179
32.34,2113
32.43,2178
32.44,1554
33.45,2672
33.96,3919
34.15,4864
34.68,6212
33.61,4314
29.43,207
32.10,2235
32.48,2382
35.20,5572
35.53,7143
32.82,2029
34.97,6316
32.19,1261
30.37,876
34.73,4519
32.61,3020
33.21,3860
32.83,3175
31.75,1868
32.69,1870
32.69,2180
32.43,2213
35.91,8469
35.10,6126
34.07,2541
32.27,2569
33.48,3385
33.48,2332
31.48,1143
31.08,1456
34.78,5032
33.03,2444
32.98,2210
33.12,2992
32.78,2994
30.80,1226
32.44,2046
32.03,1575
33.55,3061
33.82,2321
32.51,2347
30.11,346
33.93,3920
32.13,815
27.58,209
33.85,4770
34.00,4861
32.59,2982
31.89,2178
32.58,3029
28.33,316
32.73,1903
30.64,796
27.53,314
31.65,1237
33.87,4640
32.77,2646
31.63,1245
30.07,747
35.70,8846
27.53,237
33.86,4958
31.85,1069
33.20,3975
33.85,2601
32.87,1979
33.62,4986
36.02,8330
29.56,180
30.08,360
29.51,190
32.90,2638
34.04,4163
33.05,2688
34.58,5245
33.29,3110
29.83,488
33.56,3041
32.50,1799
33.64,3586
34.19,4570
32.11,1562
33.48,4570
32.94,1518
32.05,1350
29.48,244
33.14,3318
30.50,890
35.21,7343
35.38,8968
32.54,1681
33.88,4634
32.15,2018
34.34,4981
32.82,1376
30.93,1398
29.06,750
31.39,1676
29.19,469
30.73,574
32.60,1436
32.84,3604
35.45,8868
31.01,1340
31.86,2390
32.16,2028
33.11,2011
30.64,1425
31.82,1631
27.70,270
34.46,4950
33.78,3503
35.17,7447
31.24,1252
33.65,4462
27.68,226
33.02,1985
33.92,4526
31.91,2247
34.20,4550
32.10,2392
34.03,4840
29.97,395
32.57,2414
34.67,5930
32.90,2612
35.63,9108
32.14,1466
34.83,4524
32.50,2581
27.79,119
33.04,2099
29.58,644
34.44,5715
27.73,264
31.86,1445
31.41,1464
30.11,726
35.52,8118
32.62,1802
32.76,2631
32.04,1505
32.90,1955
33.22,2026
33.96,3252
33.62,2110
34.71,4376
31.77,2502
31.98,2291
32.60,2381
32.91,2726
29.67,593
33.02,3199
35.64,8328
33.01,2417
32.15,2141
32.93,1800
33.55,3146
31.34,808
29.86,385
33.22,3016
31.16,714
35.77,9068
32.53,1669
34.18,5126
29.87,1522
32.13,1658
33.24,1832
33.53,1468
32.44,1915
31.63,1227
32.66,2593
32.62,2375
33.05,1544
32.30,1455
31.67,2453
34.53,3346
34.39,5459
32.61,1757
33.77,1617
34.18,3585
31.95,1694
34.43,3214
38.03,35410
31.89,1465
35.22,7531
34.12,4583
31.23,1421
33.51,4025
33.21,2491
34.91,4903
32.46,1657
36.54,15422
31.73,1469
32.76,1972
32.38,2205
29.94,482
32.82,1994
31.51,1682
31.22,1608
30.62,1399
32.73,2554
33.95,4951
33.53,2699
33.56,2490
32.67,1250
32.77,1903
34.82,4965
25.68,14
32.58,2163
33.09,2332
33.30,2220
29.53,678
32.33,2380
29.35,803
33.22,3156
34.01,3258
32.75,2201
31.18,638
31.07,672
29.14,788
33.32,1471
32.86,1925
31.98,1442
32.87,2512
32.53,2153
30.11,734
36.54,14970
28.16,262
34.14,6352
33.87,2016
31.68,1562
31.84,2119
32.80,2285
31.87,2313
31.84,2340
34.10,4168
29.85,475
33.15,2160
29.36,404
32.40,1913
29.93,703
32.83,2482
33.48,2759
32.90,2413
32.82,2069
35.13,7304
32.24,2200
32.50,2421
31.01,1776
33.09,2415
34.81,6457
28.02,254
32.86,2586
32.71,1822
33.25,2313
32.65,1682
31.64,1728
33.52,2522
33.49,2426
32.66,2123
30.09,502
30.88,778
29.25,868
33.73,2248
32.06,1620
31.48,948
34.98,5917
32.40,1682
33.48,4089
27.77,107
32.06,1258
32.46,2583
33.71,4477
32.89,2680
32.70,2650
31.30,1051
33.17,2514
32.77,1874
32.58,1441
33.65,4358
32.97,2566
33.11,2341
32.43,2710
31.50,1493
32.47,2056
31.66,1143
27.95,66
32.61,2218
30.88,758
32.38,2796
31.17,2393
27.78,69
31.16,1176
27.79,340
32.92,2004
30.53,461
27.82,322
27.93,160
27.92,207
32.89,2450
32.39,2200
32.17,1362
32.07,2200
32.71,2352
27.91,189
32.02,2595
32.70,2416
34.59,7539
24.47,-17
32.30,2493
32.76,2258
25.79,168
32.46,2516
33.06,1915
33.25,2308
34.45,3524
30.86,495
25.56,193
32.30,2511
31.14,744
27.83,161
32.73,2576
25.56,150
32.47,2620
31.18,870
27.73,NA
27.81,-29
29.92,478
31.67,2570
29.74,465
31.16,1669
29.10,550
31.93,1490
32.86,3364
27.86,88
30.14,426
31.61,1160
33.29,1984
22.11,175
31.96,1183
31.09,893
33.47,3472
31.62,1567
33.35,2500
25.59,163
32.43,2623
32.45,2301
32.87,2286
33.33,2704
27.85,277
32.92,2401
30.56,1197
31.52,1096
32.07,1571
30.80,879
32.70,2768
32.41,2705
33.48,2937
31.40,2519
31.91,1151
31.93,1248
33.43,3070
32.64,1299
30.33,597
32.70,2677
32.20,2459
31.84,1235
31.54,1071
33.29,3676
33.02,2802
33.07,2534
33.10,2222
27.71,160
33.13,2577
32.33,1102
34.51,5500
32.96,2910
35.85,9595
33.12,2373
28.01,153
32.66,2988
32.51,2584
32.57,2489
32.80,1328
33.63,3603
32.69,2583
27.97,171
33.35,2952
31.81,1047
34.78,5649
32.58,2346
34.61,6195
32.20,2445
33.46,3308
31.45,2271
30.57,996
32.06,3465
34.39,3418
31.04,1323
30.90,745
33.84,3567
34.15,3183
34.14,2546
34.11,3278
29.44,3174
32.42,2428
33.23,4222
31.53,1274
27.60,NA
33.08,2750
28.61,273
29.46,444
31.73,1142
31.70,953
30.25,444
30.27,457
29.27,457
29.66,458
29.26,481
31.28,716
33.11,2666
29.19,319
28.71,570
29.31,515
28.39,334
33.75,2695
29.23,842
33.44,3094
30.79,1687
33.66,3886
33.23,3630
33.02,3470
33.02,3356
32.90,2648
33.89,3349
32.64,2554
33.20,2847
32.96,1934
34.03,3158
34.08,4160
32.12,1812
34.12,4180
31.29,4208
34.30,3192
31.13,1045
32.86,2316
33.22,3552
33.90,2878
33.81,3676
30.09,573
32.64,2357
32.59,1573
33.59,3561
32.66,3187
32.97,2567
31.83,2442
33.30,5030
32.99,3538
33.53,4238
33.09,2548
32.87,999
32.94,2971
30.48,846
32.15,2787
34.28,4323
29.20,454
29.96,534
33.71,3261
33.84,3531
32.74,2721
34.24,3686
33.02,2721
32.14,1750
33.21,2028
32.37,1201
29.95,792
29.85,481
30.09,590
29.20,501
30.27,812
29.87,467
31.43,1204
29.35,439
30.25,750
31.99,1420
32.98,2317
32.13,1867
33.38,2988
34.36,4547
32.00,918
29.00,2978
30.16,611
33.28,3073
28.03,230
32.11,1389
32.22,1291
34.13,3764
37.43,28074
33.80,3131
33.10,2628
35.19,6685
30.39,606
32.73,2262
34.89,4144
31.23,1174
31.31,1009
32.89,3070
30.44,918
29.45,1008
33.16,2946
30.92,1317
30.35,576
30.47,669
37.60,21706
32.97,2670
32.53,2262
31.43,1310
33.06,2914
29.80,852
32.09,1302
31.31,1194
33.28,2849
36.97,17384
32.55,2232
32.75,2556
29.96,767
31.49,1178
21.83,32
33.01,3174
33.28,2813
31.77,862
31.55,905
31.88,2410
33.35,2897
29.13,530
31.80,2501
32.70,2364
32.01,1158
29.71,1226
32.14,1200
32.11,1664
31.68,1426
34.93,2682
31.82,1430
34.33,4867
32.09,1691
31.85,1714
31.39,1752
31.26,797
28.32,39
32.81,2820
33.03,1616
31.99,3213
34.96,6210
31.80,926
33.10,2848
31.26,1540
32.72,1961
32.03,2054
30.95,1852
30.64,908
28.13,303
31.85,1692
31.62,1084
31.54,2645
33.53,3029
31.73,1254
28.62,295
32.88,2818
27.55,267
28.89,454
33.45,3060
35.53,8669
34.24,3913
35.34,7662
33.20,2693
31.58,1461
33.14,2987
33.13,3201
32.78,1561
34.43,7762
32.57,1828
31.80,1573
32.65,1660
30.84,952
32.25,1552
31.30,1049
31.09,1356
28.32,178
30.78,982
31.30,1016
28.44,1758
30.69,490
35.07,5625
32.24,1373
32.89,1058
31.80,1500
33.42,2597
32.36,1317
32.16,969
27.12,269
31.51,1369
31.40,1844
32.90,2758
31.41,1526
31.84,1716
33.57,2539
31.91,1460
30.48,1119
32.30,2100
31.72,1490
32.74,1705
28.67,455
31.34,928
31.59,1436
31.93,1555
32.64,2408
32.42,1753
31.48,975
32.39,2804
32.17,1720
31.20,1289
30.04,774
32.01,1120
30.73,1124
31.56,1082
31.01,1625
31.07,924
31.37,877
31.26,957
30.11,956
34.53,5255
31.64,1152
30.45,1508
27.93,98
31.60,1462
31.59,1621
33.12,2492
31.95,1477
30.62,1471
29.82,2023
33.13,1611
30.25,749
31.58,1314
32.38,1503
31.28,1697
32.67,1966
28.21,282
33.14,2343
29.59,885
32.87,2483
30.02,1577
31.41,849
32.98,2764
30.84,815
31.12,1674
31.88,2080
31.14,1293
32.31,2155
31.31,919
32.10,1697
33.07,2673
30.86,825
31.93,1546
31.17,1213
31.79,2042
32.44,1958
32.32,2371
32.66,1090
31.32,1046
31.94,1855
33.51,1361
29.75,963
32.31,1961
32.37,2002
30.68,920
32.05,1235
32.28,1508
28.43,358
31.76,1961
33.40,1989
27.95,1019
31.26,1896
31.11,845
32.06,2547
32.93,2934
30.85,1397
27.38,183
30.36,-70
30.66,1122
31.99,308
31.24,-241
30.88,831
31.09,1222
27.26,179
31.90,-209
27.59,425
32.63,2489
32.57,1146
28.68,180
32.19,545
31.31,2508
31.88,202
30.94,1549
27.36,NA
30.47,958
30.88,1094
29.83,2027
32.19,313
32.07,2993
32.27,2763
31.14,-142
31.34,1062
27.37,313
32.75,1913
30.70,76
31.48,172
31.60,1797
28.12,247
31.28,-37
28.22,123
33.25,-221
31.02,1927
30.65,1036
28.19,272
30.75,-216
31.84,385
35.15,7986
31.67,1223
31.44,1063
33.02,2646
26.86,242
29.41,514
29.31,328
31.91,2406
32.23,2297
30.30,637
34.20,4294
30.96,987
32.54,1843
32.91,1648
32.20,1110
32.28,2061
32.56,1814
34.92,6701
30.95,278
31.48,181
30.97,1963
31.97,92
33.00,2756
29.84,1252
33.20,984
31.59,1711
32.12,1338
31.49,1414
31.94,2647
31.19,1582
31.36,1553
33.66,2564
30.54,-486
32.19,2530
32.28,1852
31.49,1260
31.01,1024
32.14,1791
31.81,1148
31.57,2612
35.79,7785
30.30,435
32.99,3237
31.73,1061
31.24,682
31.47,-195
31.02,1272
30.73,770
32.84,2747
30.37,1417
31.00,-159
31.84,3366
30.47,181
28.79,346
30.79,1213
30.89,41
31.12,855
33.00,1321
30.99,NA
30.41,1043
31.64,932
31.47,1046
28.48,246
32.29,1893
30.98,861
31.33,2316
28.09,376
34.31,1773
30.45,887
32.93,2856
32.49,856
31.73,1002
32.12,2754
27.08,250
30.26,45
31.09,750
32.30,2872
28.15,256
31.02,1754
32.26,1053
32.59,3221
31.08,1915
30.11,624
28.34,334
31.24,1241
32.08,796
30.24,1628
31.06,625
31.97,2037
33.43,2478
32.65,1488
32.43,1645
30.98,1198
31.02,1324
31.32,458
34.07,4333
30.93,1562
30.90,2200
29.42,446
31.10,911
31.08,1309
31.13,1336
29.82,632
29.75,528
32.82,2352
30.41,929
31.12,1230
31.29,704
32.57,1678
30.25,921
31.12,1285
31.11,1312
30.82,1651
31.11,1468
30.24,2236
31.83,2053
31.22,885
31.01,1448
30.32,-218
31.38,1648
31.32,529
28.44,344
33.27,2508
33.83,79
31.39,1185
29.03,217
35.33,7524
30.97,1315
30.75,1654
30.89,58
30.23,1944
30.87,1898
31.41,1677
31.44,848
32.70,1965
30.51,1244
32.24,1016
30.72,954
32.20,1288
30.97,438
31.03,1150
30.98,273
30.88,873
33.13,711
29.27,816
30.57,934
31.11,1005
31.52,769
30.97,1079
29.89,1073
31.14,1679
30.37,-267
30.76,840
31.96,1362
28.94,493
31.04,2215
32.07,2144
31.03,994
32.93,2783
30.55,-7
31.50,1466
32.32,2800
32.46,2946
33.37,3172
31.56,1710
32.71,3748
27.80,318
31.27,2014
32.47,3517
30.98,592
33.35,2364
29.67,968
30.35,1824
31.90,2004
32.65,2436
32.81,2412
30.49,1598
31.53,1787
33.00,1992
31.07,1813
34.95,6952
29.00,66
35.06,10822
29.33,636
28.30,396
32.64,2535
32.96,4429
30.99,660
33.16,2709
30.55,1634
31.55,80
32.73,2345
30.92,359
31.18,1114
32.02,941
31.82,1675
31.05,1077
33.10,2559
31.83,767
31.19,1362
31.14,1808
31.55,945
32.36,2434
33.18,3135
30.86,1046
31.94,2286
28.68,452
30.82,1433
30.16,821
31.77,921
31.14,1779
31.00,770
31.13,1374
28.69,423
33.73,3113
33.28,2702
30.86,1204
31.78,772
32.91,2327
34.80,6763
27.39,368
32.42,1809
31.72,2211
30.63,1500
33.86,4479
30.81,1724
29.07,550
32.76,2464
35.21,8200
32.03,1983
30.40,1874
30.44,1142
33.01,2680
32.88,3306
32.79,2799
32.30,2142
34.30,3751
31.87,1289
29.09,1294
33.51,2961
31.49,1414
29.39,1198
34.73,4384
32.16,1781
32.67,2705
34.03,4010
30.41,1222
30.18,1072
32.82,2705
33.16,4498
31.34,853
31.85,2120
30.41,1208
32.40,2280
28.21,366
30.58,1393
30.82,882
32.56,1883
32.39,3164
30.93,1162
32.43,1738
33.19,1221
32.08,2150
33.08,2449
33.48,4052
33.26,3680
33.28,2741
31.57,1092
32.67,4143
32.58,3026
33.17,3079
30.52,-170
30.27,1468
32.95,2797
30.98,1005
32.58,2889
28.03,383
30.46,1154
32.30,934
34.11,4529
32.39,2358
32.32,1686
28.88,493
32.62,4028
29.89,543
32.40,1563
28.42,402
31.21,697
30.29,918
28.34,NA
31.19,670
31.41,1198
28.22,399
30.18,964
31.96,879
31.78,1144
31.85,1165
30.15,803
31.69,1378
34.81,6065
31.52,2008
33.81,7623
26.61,186
31.34,1508
29.99,873
30.75,1222
35.66,6802
32.36,1954
35.60,6831
33.34,2660
32.51,2142
33.99,6919
31.95,1808
33.64,3100
35.24,7580
31.91,2420
33.88,5477
33.37,2445
31.09,1113
33.37,2516
32.66,2912
33.94,4846
31.52,772
31.47,627
30.88,1195
29.20,622
34.31,4722
32.97,2762
27.49,568
30.58,2420
31.55,1022
32.82,3009
32.58,2425
30.68,647
30.01,1234
32.46,2411
31.96,2247
27.70,386
33.37,2942
28.20,362
30.76,1204
28.42,162
30.47,891
32.16,2848
31.99,1998
32.19,2476
35.49,6915
28.29,297
32.52,1521
28.37,98
29.66,1235
30.43,2959
33.80,3040
31.65,1588
34.54,6007
31.16,1284
32.26,1651
32.21,2458
30.45,1484
32.99,2826
33.21,2933
31.62,849
32.12,1983
34.48,2756
27.87,227
32.39,2834
33.23,898
33.23,1976
34.12,2634
31.44,926
31.50,1159
30.84,389
29.09,478
32.51,3001
31.52,860
32.33,2641
33.11,2943
31.53,2227
32.91,2722
32.56,2636
27.87,615
27.87,480
32.56,1503
28.13,242
32.77,2881
35.63,6417
31.60,1472
28.13,270
32.17,1352
32.05,693
31.05,843
31.42,2251
28.22,348
32.45,2581
32.89,1503
31.28,1567
30.66,1259
31.66,953
33.88,4678
34.51,4277
31.66,1474
31.95,1777
30.86,1629
32.75,2745
33.10,2530
31.38,1715
32.66,2166
32.31,1900
30.74,848
31.63,1825
28.56,550
33.19,2834
32.42,2638
32.28,1601
30.97,925
30.39,1504
32.80,1253
31.48,2698
31.16,651
30.69,1306
31.21,1598
31.45,1337
32.66,2003
32.33,1963
31.80,2242
32.88,2782
34.31,5502
31.42,1004
32.02,2492
32.53,1723
27.99,575
32.66,2805
27.92,315
27.92,NA
34.53,6746
32.60,1508
30.90,469
31.03,1437
32.64,2418
32.23,2131
36.17,11715
35.54,9352
31.95,1185
30.55,717
28.72,256
35.19,7429
31.22,1311
32.14,2540
32.17,1675
28.39,349
31.00,1860
31.10,1157
31.66,997
31.70,953
28.80,1638
27.83,391
35.44,9813
31.22,1283
30.99,381
31.11,966
31.11,744
28.57,282
32.93,2325
32.61,1760
30.77,1288
27.89,357
34.61,3766
31.20,-342
30.83,907
31.87,1502
34.43,6475
32.96,2372
29.98,2604
31.63,2246
33.54,3465
28.30,318
32.21,1113
32.33,1395
29.67,548
29.40,560
31.36,1448
32.63,1887
27.07,168
34.15,4122
31.80,2271
31.23,1666
33.23,3567
30.91,1559
33.45,2983
30.55,2355
27.53,418
30.14,483
29.21,668
32.91,2479
34.89,7067
32.71,2475
28.67,442
33.58,3642
28.45,377
32.03,2382
