galaxies
mod0,vgsr
35.51,6914
34.76,6715
34.73,9434
34.71,8165
34.61,6586
34.91,7252
34.59,7520
34.92,5748
34.79,8543
34.57,8190
35.09,7018
34.67,5971
34.85,7659
35.23,8437
34.09,6613
35.60,4999
35.25,7658
34.90,5485
35.00,5478
35.57,7565
35.43,6241
34.24,8224
33.22,7776
35.11,7167
34.88,6661
32.84,2548
33.50,6331
36.03,10126
35.44,7134
34.62,7115
30.42,1111
34.48,6383
34.20,7289
29.03,1180
32.91,2611
34.48,6134
34.40,6068
35.47,6660
35.39,7275
33.10,2910
37.11,14574
33.62,1301
35.22,6554
35.26,7372
28.27,330
33.15,2287
32.21,1714
35.17,6882
32.31,2462
35.81,9155
34.26,4900
35.16,6891
33.35,7788
34.36,6567
35.17,7255
33.68,7157
33.05,7450
32.92,6144
33.91,6425
35.08,6960
34.27,7194
34.87,5919
34.98,7021
35.04,6023
34.86,6984
33.47,8260
34.16,7883
34.83,7792
34.05,8210
35.29,7619
35.19,5983
34.52,7621
35.65,8528
34.20,5014
36.65,20081
37.57,28268
35.90,9364
35.00,9761
31.11,909
35.30,8074
37.28,26117
29.71,500
32.46,682
32.68,652
36.77,13625
36.41,13621
35.16,8386
34.53,6422
31.52,887
32.39,2210
31.22,2584
32.76,2015
35.12,4982
31.28,285
32.08,588
31.67,873
31.11,950
33.13,2730
33.81,3990
32.35,1734
30.22,1347
30.97,762
34.60,8581
32.98,805
32.66,2225
30.83,586
32.81,2437
31.18,527
33.65,2620
33.76,4025
29.97,539
34.72,6069
35.95,11328
31.65,1104
35.06,6460
33.81,3920
31.08,916
33.10,1865
30.48,2248
32.74,2776
31.88,1436
32.79,2744
31.70,1141
32.09,1036
30.84,1569
32.79,2020
30.59,938
33.22,2620
32.16,2055
32.20,1589
34.47,7088
35.02,7461
31.92,1165
35.09,7514
35.02,7318
32.26,1802
34.39,7933
34.90,6296
31.88,1372
35.27,6503
30.43,750
31.98,1184
34.13,2658
35.23,6268
35.15,6031
32.73,1191
34.73,3931
